"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","handles extra query params","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","extractVideoId","",""
"","0","fails when parse required retry","Video Processing","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","runChecks","",""
"","2","returns 409 for duplicate video","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue","",""
"","0","extracts JSON from markdown code fences","Video Processing","Tue Feb 24 01:38:54 UTC 2026","passed","Tue Feb 24 01:38:54 UTC 2026","","parseSummaryResponse","",""
"","49","returns paginated list of summaries","Summaries","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","GET /summaries","",""
"","0","fails when keyPoints count is too low","Video Processing","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","runChecks","",""
"","1","returns 400 for more than 10 videos","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue/batch","",""
"","1","returns 409 for completed item","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue/:id/process","",""
"","2","resets count when reset date is in the past","Billing","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","GET /usage","",""
"","0","returns null for YouTube URL without video ID","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","extractVideoId","",""
"","1","returns 409 for processing items","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","DELETE /queue/:id","",""
"","2","fires Inngest event for a pending queue item","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue/:id/process","",""
"","0","fails when summary is too short","Video Processing","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","runChecks","",""
"","4","returns 404 for non-existent item","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue/:id/process","",""
"","1","returns 404 for non-existent item","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","DELETE /queue/:id","",""
"","2","returns 400 when videoUrl is missing","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue","",""
"","0","fails when timestamps are missing","Video Processing","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","runChecks","",""
"","1","throws on invalid JSON","Video Processing","Tue Feb 24 01:38:54 UTC 2026","passed","Tue Feb 24 01:38:54 UTC 2026","","parseSummaryResponse","",""
"","3","returns 429 when rate limited","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue","",""
"","2","soft-deletes a summary","Summaries","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","DELETE /summaries/:id","",""
"","2","returns 404 for non-existent or already deleted summary","Summaries","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","DELETE /summaries/:id","",""
"","2","returns 400 when q parameter is missing","Summaries","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","GET /summaries/search","",""
"","2","returns 400 for invalid YouTube URL","Queue","Tue Feb 24 01:38:53 UTC 2026","passed","Tue Feb 24 01:38:53 UTC 2026","","POST /queue","",""
